feature,coef_down,coef_same,coef_up,max_abs_coef,sector_slug,feature_type,all_zero,n_nonzero_classes,var,rank_within_sector
num__VIX_Lag3,-0.088007902741348,-0.0157129557058152,0.1832912048203987,0.1832912048203987,communication_services,numeric,False,3,VIX_Lag3,4
num__VIX_Lag1,0.0,-0.1692539852802891,0.1209109571516496,0.1692539852802891,communication_services,numeric,False,2,VIX_Lag1,5
num__revenue_growth,0.1331866173562013,-0.0018536467242045,-0.0534337139756651,0.1331866173562013,communication_services,numeric,False,3,revenue_growth,6
num__VIX_Lag10,-0.0919263001835049,0.0,0.1147040237721766,0.1147040237721766,communication_services,numeric,False,2,VIX_Lag10,7
num__VIX_Lag5,-0.0137361609620716,0.1038401011293531,-0.0105407875518568,0.1038401011293531,communication_services,numeric,False,3,VIX_Lag5,8
num__roa,0.084831080521432,-0.0973219037385843,0.0,0.0973219037385843,communication_services,numeric,False,2,roa,9
num__IPI_IPI_SA,-0.0272792417240592,0.0966346233467598,0.0,0.0966346233467598,communication_services,numeric,False,2,IPI_IPI_SA,10
num__VIX_Lag3,-0.3051571864900878,0.0,0.2294286935103147,0.3051571864900878,consumer_cyclical,numeric,False,2,VIX_Lag3,1
num__VIX_Lag2,0.2838031858762452,0.0,-0.0901821844616089,0.2838031858762452,consumer_cyclical,numeric,False,2,VIX_Lag2,2
num__VIX_Lag1,0.0,-0.2402109082561604,0.1228008544004205,0.2402109082561604,consumer_cyclical,numeric,False,2,VIX_Lag1,3
num__IPI_IPI_QOQ,0.1992215687345803,0.0,-0.0080142731913108,0.1992215687345803,consumer_cyclical,numeric,False,2,IPI_IPI_QOQ,4
num__VIX_Lag5,0.0162313600853773,0.0,-0.1774020285877667,0.1774020285877667,consumer_cyclical,numeric,False,2,VIX_Lag5,5
num__VIX_Lag10,-0.1705195078570735,0.0,0.0248939203166606,0.1705195078570735,consumer_cyclical,numeric,False,2,VIX_Lag10,6
num__op_margin,-0.0382473481065939,0.1391319480205628,0.0,0.1391319480205628,consumer_cyclical,numeric,False,2,op_margin,7
num__debt_to_equity,-0.123986307255243,0.0,0.0320209950574454,0.123986307255243,consumer_cyclical,numeric,False,2,debt_to_equity,8
num__roa,-0.0463461575686765,0.0,0.0920056023176425,0.0920056023176425,consumer_cyclical,numeric,False,2,roa,9
num__Return_Lag1,0.0876732162639251,0.0,-0.0286564616986936,0.0876732162639251,consumer_cyclical,numeric,False,2,Return_Lag1,10
num__VIX_Lag1,0.1162376392486461,-0.2328033390481695,0.0814894201227772,0.2328033390481695,consumer_defensive,numeric,False,3,VIX_Lag1,1
num__VIX_Lag3,-0.2239662184311927,0.1018635611943378,0.0870728009498105,0.2239662184311927,consumer_defensive,numeric,False,3,VIX_Lag3,2
num__roe,0.0384020135602736,-0.1972231567755979,0.1244452449973113,0.1972231567755979,consumer_defensive,numeric,False,3,roe,3
num__VIX_Lag2,0.1189897944023384,0.0360178480010131,-0.1896021532170179,0.1896021532170179,consumer_defensive,numeric,False,3,VIX_Lag2,4
num__debt_to_equity,-0.0487635247134067,0.1849989415309677,-0.1020701962308842,0.1849989415309677,consumer_defensive,numeric,False,3,debt_to_equity,5
num__current_ratio,-0.0528948248983169,-0.0163673862212644,0.0887308534562871,0.0887308534562871,consumer_defensive,numeric,False,3,current_ratio,6
num__liquidity_ratio,-0.0883420693946535,0.0190751725406793,0.0343566312935273,0.0883420693946535,consumer_defensive,numeric,False,3,liquidity_ratio,7
num__op_margin,0.0508362452563051,-0.0878928368959644,0.0122377591653976,0.0878928368959644,consumer_defensive,numeric,False,3,op_margin,8
num__IPI_IPI_QOQ,0.0,-0.061137434194757,0.0854452955946794,0.0854452955946794,consumer_defensive,numeric,False,2,IPI_IPI_QOQ,9
num__Return_Lag1,0.0787051252266722,-0.0573961365774156,0.0,0.0787051252266722,consumer_defensive,numeric,False,2,Return_Lag1,10
num__VIX_Lag3,-0.2076726557680163,-0.0413431156129223,0.4597626294412036,0.4597626294412036,energy,numeric,False,3,VIX_Lag3,1
num__VIX_Lag1,-0.0180255876760216,-0.2042644936810532,0.4329184298572501,0.4329184298572501,energy,numeric,False,3,VIX_Lag1,2
num__debt_to_equity,-0.137660065442471,0.4203315113034691,-0.072648532514474,0.4203315113034691,energy,numeric,False,3,debt_to_equity,3
num__VIX_Lag2,0.364317840664578,0.0,-0.3470086329503226,0.364317840664578,energy,numeric,False,2,VIX_Lag2,4
num__VIX_Lag5,-0.0359158705496219,0.2995203975777739,-0.0529424731484519,0.2995203975777739,energy,numeric,False,3,VIX_Lag5,5
num__liquidity_ratio,0.2416080355667594,-0.0144822130711893,-0.0172689666751482,0.2416080355667594,energy,numeric,False,3,liquidity_ratio,6
num__VIX_Lag20,0.23578615404058,0.0,-0.0959267976439208,0.23578615404058,energy,numeric,False,2,VIX_Lag20,7
num__current_ratio,0.0,-0.2048937135104841,0.0778865554553028,0.2048937135104841,energy,numeric,False,2,current_ratio,8
num__IPI_IPI_QOQ,0.143547859383882,0.0,-0.1062320383539253,0.143547859383882,energy,numeric,False,2,IPI_IPI_QOQ,9
num__roe,0.0,-0.0079532624097386,0.1304981863582882,0.1304981863582882,energy,numeric,False,2,roe,10
num__VIX_Lag2,0.3409434199046473,-0.1501737485080173,-0.0911468145311133,0.3409434199046473,financial_services,numeric,False,3,VIX_Lag2,1
num__VIX_Lag3,-0.2949309141643484,0.0,0.2940787245391026,0.2949309141643484,financial_services,numeric,False,2,VIX_Lag3,2
num__VIX_Lag1,-0.0142372202536337,-0.0884869155846758,0.2022903593182609,0.2022903593182609,financial_services,numeric,False,3,VIX_Lag1,3
num__IPI_IPI_QOQ,0.1738254862306096,-0.0036034418973403,-0.0705536842547779,0.1738254862306096,financial_services,numeric,False,3,IPI_IPI_QOQ,4
num__VIX_Lag5,0.0,0.1677685103632875,-0.0985075932740985,0.1677685103632875,financial_services,numeric,False,2,VIX_Lag5,5
num__roa,-0.0202178102955751,0.1619782584632132,-0.0460026279594378,0.1619782584632132,financial_services,numeric,False,3,roa,6
num__op_margin,0.1473167201472529,-0.0093765275825967,-0.0464684869033644,0.1473167201472529,financial_services,numeric,False,3,op_margin,7
num__roe,0.0289953025310095,-0.1389455781558886,0.0115574207264509,0.1389455781558886,financial_services,numeric,False,3,roe,8
num__IPI_IPI_SA,-0.1255047721647972,0.0,0.0512110216378171,0.1255047721647972,financial_services,numeric,False,2,IPI_IPI_SA,9
num__debt_to_equity,0.0,0.099159786498646,-0.1142074843513568,0.1142074843513568,financial_services,numeric,False,2,debt_to_equity,10
num__VIX_Lag2,0.317292764028633,-0.1382942533618182,-0.1333415146787631,0.317292764028633,healthcare,numeric,False,3,VIX_Lag2,1
num__VIX_Lag3,-0.2720015661068967,0.0436368443015764,0.1827282753698134,0.2720015661068967,healthcare,numeric,False,3,VIX_Lag3,2
num__free_cf_margin,-0.1361714254653323,0.2623731005470264,-0.0805946352156793,0.2623731005470264,healthcare,numeric,False,3,free_cf_margin,3
num__op_margin,0.1074086175208233,-0.2097216651126305,0.056925457831732,0.2097216651126305,healthcare,numeric,False,3,op_margin,4
num__VIX_Lag1,-0.0608469308551361,-0.0732676787839369,0.1797369262656931,0.1797369262656931,healthcare,numeric,False,3,VIX_Lag1,5
num__VIX_Lag5,0.0,0.1040693902724874,-0.0920218085469042,0.1040693902724874,healthcare,numeric,False,2,VIX_Lag5,6
num__IPI_IPI_QOQ,0.0982860382115638,-0.0175168735359584,-0.035109572135886,0.0982860382115638,healthcare,numeric,False,3,IPI_IPI_QOQ,7
num__roe,-0.0660191873883409,0.0,0.0939717420443107,0.0939717420443107,healthcare,numeric,False,2,roe,8
num__current_ratio,0.0,0.0847570896166722,-0.0923376051239685,0.0923376051239685,healthcare,numeric,False,2,current_ratio,9
num__revenue_growth,0.0083619438242126,-0.0860358395358147,0.0320465771185177,0.0860358395358147,healthcare,numeric,False,3,revenue_growth,10
num__VIX_Lag3,-0.2881019397351965,-0.0423154512515424,0.4091410673906792,0.4091410673906792,industrials,numeric,False,3,VIX_Lag3,1
num__VIX_Lag2,0.235270521167241,0.0,-0.2634604187675295,0.2634604187675295,industrials,numeric,False,2,VIX_Lag2,2
num__VIX_Lag1,0.0,-0.2081137959655738,0.2057679571933334,0.2081137959655738,industrials,numeric,False,2,VIX_Lag1,3
num__current_ratio,0.0611160971909388,0.0524146215051098,-0.192126370081432,0.192126370081432,industrials,numeric,False,3,current_ratio,4
num__VIX_Lag5,0.0,0.1336392108330384,-0.1780154709880897,0.1780154709880897,industrials,numeric,False,2,VIX_Lag5,5
num__IPI_IPI_QOQ,0.1650899516711196,-0.0234070032728395,-0.0629664451867999,0.1650899516711196,industrials,numeric,False,3,IPI_IPI_QOQ,6
num__IPI_IPI_SA,-0.1347639529392717,0.0,0.0643461862414392,0.1347639529392717,industrials,numeric,False,2,IPI_IPI_SA,7
num__VIX_Lag10,-0.063777045926364,0.0,0.1051569472076656,0.1051569472076656,industrials,numeric,False,2,VIX_Lag10,8
num__Return_Lag2,0.0958300369276984,-0.0083691979615069,-0.0088054501023675,0.0958300369276984,industrials,numeric,False,3,Return_Lag2,9
num__IPI_IPI_SA_QOQ,0.0898967274057446,0.0,-0.0153302593341086,0.0898967274057446,industrials,numeric,False,2,IPI_IPI_SA_QOQ,10
num__VIX_Lag3,-0.4455345659164452,0.0,0.0,0.4455345659164452,real_estate,numeric,False,1,VIX_Lag3,1
num__VIX_Lag1,0.199517733456029,-0.4137532378993571,0.0,0.4137532378993571,real_estate,numeric,False,2,VIX_Lag1,2
num__Return_Lag1,0.0,0.0,-0.1317747299228039,0.1317747299228039,real_estate,numeric,False,1,Return_Lag1,3
num__VIX_Lag2,0.1134218650473834,-0.0164736707671971,0.0,0.1134218650473834,real_estate,numeric,False,2,VIX_Lag2,4
num__Sentiment_Lag10,0.0,0.0,-0.1127190655879191,0.1127190655879191,real_estate,numeric,False,1,Sentiment_Lag10,5
num__VIX_Lag20,0.0,0.0161373223839552,-0.1069269511781575,0.1069269511781575,real_estate,numeric,False,2,VIX_Lag20,6
num__IPI_IPI_SA,-0.086313129099632,0.0,0.0,0.086313129099632,real_estate,numeric,False,1,IPI_IPI_SA,7
num__Return_Lag10,-0.0827157067844479,0.0003197016836792,0.0,0.0827157067844479,real_estate,numeric,False,2,Return_Lag10,8
num__Return_Lag2,0.055995378461129,0.0,-0.0764795119850729,0.0764795119850729,real_estate,numeric,False,2,Return_Lag2,9
num__Return_Lag5,0.0,0.0034188928925935,-0.061380924700991,0.061380924700991,real_estate,numeric,False,2,Return_Lag5,10
num__VIX_Lag2,0.2922054707510952,-0.0614543877923191,-0.1879420979327816,0.2922054707510952,technology,numeric,False,3,VIX_Lag2,1
num__VIX_Lag3,-0.1343496032913579,-0.1076248932614591,0.2847893852901751,0.2847893852901751,technology,numeric,False,3,VIX_Lag3,2
num__VIX_Lag1,-0.0950563746613874,-0.136699642964902,0.2745216565699773,0.2745216565699773,technology,numeric,False,3,VIX_Lag1,3
num__VIX_Lag5,-0.0562780542750078,0.2489291336948706,-0.1498145019823525,0.2489291336948706,technology,numeric,False,3,VIX_Lag5,4
num__debt_to_equity,0.1649647184262723,-0.0923807677563676,-0.0378626272962801,0.1649647184262723,technology,numeric,False,3,debt_to_equity,5
num__IPI_IPI_QOQ,0.1503327774324112,-0.0359195716579594,-0.0715673108083024,0.1503327774324112,technology,numeric,False,3,IPI_IPI_QOQ,6
num__roe,-0.0782521609728313,0.1475049811840701,-0.0265172479137615,0.1475049811840701,technology,numeric,False,3,roe,7
num__current_ratio,-0.0738410723541157,0.1457064995052832,-0.0350387651659617,0.1457064995052832,technology,numeric,False,3,current_ratio,8
num__VIX_Lag10,-0.076629802598652,-0.0245866717027933,0.1440269000204938,0.1440269000204938,technology,numeric,False,3,VIX_Lag10,9
num__IPI_IPI_SA,-0.1012784898894842,0.0268588322930102,0.0315984266765672,0.1012784898894842,technology,numeric,False,3,IPI_IPI_SA,10
num__VIX_Lag3,-0.4169653473910418,0.1443340249540565,0.1626007020842284,0.4169653473910418,utilities,numeric,False,3,VIX_Lag3,1
num__VIX_Lag2,0.2430008853124208,0.0,-0.1967747320031642,0.2430008853124208,utilities,numeric,False,2,VIX_Lag2,2
num__VIX_Lag1,0.0510180472970621,-0.2297625644847288,0.0687405704896722,0.2297625644847288,utilities,numeric,False,3,VIX_Lag1,3
num__op_margin,-0.0166641347276274,-0.0329933700146567,0.1568670840665945,0.1568670840665945,utilities,numeric,False,3,op_margin,4
num__roa,0.0,0.1020538749754975,-0.1543197741459326,0.1543197741459326,utilities,numeric,False,2,roa,5
num__debt_to_equity,0.0362754619714266,-0.1468975003817385,0.0007102374640543,0.1468975003817385,utilities,numeric,False,3,debt_to_equity,6
num__Sentiment_Lag10,0.1317432618477759,-0.0123924069256672,-0.0093393699846826,0.1317432618477759,utilities,numeric,False,3,Sentiment_Lag10,7
num__roe,0.0,-0.1109108124220612,0.0703963722956416,0.1109108124220612,utilities,numeric,False,2,roe,8
num__Sentiment_Lag3,0.0019493225849695,0.0,-0.1093873043447678,0.1093873043447678,utilities,numeric,False,2,Sentiment_Lag3,9
num__Sentiment_Lag1,0.0,0.0896075984837976,-0.0979578523470237,0.0979578523470237,utilities,numeric,False,2,Sentiment_Lag1,10
