Date,Return,Return_Lag1,Return_Lag2,Return_Lag3,Return_Lag5,Return_Lag10,Return_Lag20,SMA_5,SMA_10,SMA_20,SMA_50,SMA_200,Volatility_5,ATR_5,Volatility_10,ATR_10,Volatility_20,ATR_20,RSI_14,MACD,MACD_Signal,MACD_Diff,Volume_MA_20,Volume_Ratio,BB_Middle,BB_Upper,BB_Lower,BB_Width,Sentiment,Sentiment_Lag1,Sentiment_Lag2,Sentiment_Lag3,Sentiment_Lag5,Sentiment_Lag10,Sentiment_Lag20,VIX,VIX_Lag1,VIX_Lag2,VIX_Lag3,VIX_Lag5,VIX_Lag10,VIX_Lag20,roe,roa,op_margin,debt_to_equity,liquidity_ratio,current_ratio,free_cf_margin,revenue_growth,ocf_to_assets,GDP_GDP_SA_PC_QOQ,GDP_GDP_SA_PC_YOY,GDP_GDP_NSA_PC_QOQ,GDP_GDP_NSA_PC_YOY,IPI_IPI,IPI_IPI_YOY,IPI_IPI_QOQ,IPI_IPI_SA,IPI_IPI_SA_YOY,IPI_IPI_SA_QOQ,IPI_Unnamed: 7,UNEMP_UNRATE,UNEMP_UNRATE_PC1,UNEMP_UNRATE_PCH,UNEMP_UNRATENSA,UNEMP_UNRATENSA_PC1,UNEMP_UNRATENSA_PCH
2024-08-23,0.027271223952341606,0.0018437916633071705,0.0035323647061005214,0.0,0.009517358460890302,0.032901471363725676,0.0013901274042618095,59.94600067138672,59.16800041198731,58.548000526428225,54.88280029296875,,0.011575849190460294,1.1939994812011705,0.019886367052956985,1.5454998016357415,0.022634384003558196,1.8774999618530273,67.533331536188,1.3480168116008073,1.22680106784851,0.12121574375229738,1097655.0,0.5852476415631506,58.548000526428225,61.31631475862772,55.77968629422873,0.09456562845215842,0.0,0.0,0.0,0.0,0.0,-0.0713,0.0,15.85999966,17.54999924,16.27000046,15.88000011,14.80000019,20.37000084,16.38999939,,,,,,,,0.0,,3.12663,0.88549,3.06948,3.22427,103.6179,-0.30653,1.00569,102.7114,-0.43331,-0.14767,,4.2,0.0,2.43902,4.6,2.22222,4.54545
2024-08-26,-0.019869726227757845,0.027271223952341606,0.0018437916633071705,0.0035323647061005214,0.0008417379760294885,-0.04753261364684491,-0.0050321171291421996,60.092000579833986,59.41500053405762,58.69000053405762,55.00380027770996,,0.016746261937446397,1.4140007019042968,0.013058010078449304,1.4420001983642572,0.0231628671360143,1.8957502365112304,59.15492345152408,1.325404156409789,1.246521685560766,0.078882470849023,1094490.0,0.8573856316640627,58.69000053405762,61.488601908437715,55.89139915967752,0.09536893334175653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.14999962,15.85999966,17.54999924,16.27000046,14.64999962,20.70999908,16.60000038,,,,,,,,0.0,,3.12663,0.88549,3.06948,3.22427,103.6179,-0.30653,1.00569,102.7114,-0.43331,-0.14767,,4.2,0.0,2.43902,4.6,2.22222,4.54545
2024-08-27,0.006148204220812303,-0.019869726227757845,0.027271223952341606,0.0018437916633071705,0.0,0.008837327054605604,0.028078141019657776,60.3120002746582,59.64800033569336,58.77000045776367,55.12360023498535,,0.01673742540603103,1.5200004577636719,0.012981105967363933,1.3810001373291008,0.022403625341832586,1.8572502136230469,66.93370459699955,1.322098952106657,1.261637138869944,0.06046181323671296,1064025.0,0.7237611898216677,58.77000045776367,61.688789000636774,55.85121191489057,0.09932919925603038,0.0,0.0,0.0,0.0,0.0,0.0336,0.0,15.43000031,16.14999962,15.85999966,17.54999924,15.88000011,18.12000084,17.69000053,,,,,,,,0.0,,3.12663,0.88549,3.06948,3.22427,103.6179,-0.30653,1.00569,102.7114,-0.43331,-0.14767,,4.2,0.0,2.43902,4.6,2.22222,4.54545
2024-08-28,-0.008257638419489344,0.006148204220812303,-0.019869726227757845,0.027271223952341606,0.0035323647061005214,-0.007557582139826158,-0.0011874417967476791,60.39000015258789,59.875000381469725,58.82850036621094,55.23200019836426,,0.017590694738085624,1.5300003051757827,0.013052097299202457,1.3400001525878906,0.022505109541514447,1.826250267028809,56.059277755642725,1.2645567099648147,1.2622210530889182,0.0023356568758965413,1047510.0,0.7586562419451843,58.82850036621094,61.80294071535728,55.8540600170646,0.10112242639639876,0.0,0.0,0.0,0.0,0.0,0.0336,0.0,17.11000061,15.43000031,16.14999962,15.85999966,16.27000046,16.19000053,16.36000061,,,,,,,,0.0,,3.12663,0.88549,3.06948,3.22427,103.6179,-0.30653,1.00569,102.7114,-0.43331,-0.14767,,4.2,0.0,2.43902,4.6,2.22222,4.54545
2024-08-29,0.047793488232278136,-0.008257638419489344,0.006148204220812303,-0.019869726227757845,0.0018437916633071705,0.01834547240715434,-0.013926624999133441,61.01999969482422,60.28300018310547,59.07150020599365,55.42400016784668,,0.027226444130419334,2.0380004882812512,0.018744681289957817,1.5800003051757812,0.02446454293375428,1.9132503509521488,59.387577004735945,1.4340086377822203,1.2965785700275787,0.13743006775464162,1068205.0,1.3703362182352639,59.07150020599365,62.53540242384486,55.607597988142444,0.11727828837161457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.64999962,17.11000061,15.43000031,16.14999962,17.54999924,15.22999954,18.59000015,,,,,,,,0.0,,3.12663,0.88549,3.06948,3.22427,103.6179,-0.30653,1.00569,102.7114,-0.43331,-0.14767,,4.2,0.0,2.43902,4.6,2.22222,4.54545
2024-08-30,0.018912944628685313,0.047793488232278136,-0.008257638419489344,0.006148204220812303,0.027271223952341606,0.009517358460890302,-0.012917671068899073,61.56199951171875,60.75400009155273,59.41150016784668,55.6302001953125,,0.02618494911119747,2.1240005493164076,0.019123101179769373,1.6590000152587892,0.02431971742545411,1.9477502822875983,79.85072874179863,1.645357110597125,1.366334278141488,0.27902283245563697,1119755.0,1.866033194761354,59.41150016784668,63.43681602825772,55.38618430743565,0.1355062857877311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.64999962,17.11000061,15.43000031,15.85999966,14.80000019,23.38999939,,,,,,,,0.0,,3.12663,0.88549,3.06948,3.22427,103.6179,-0.30653,1.00569,102.7114,-0.43331,-0.14767,,4.2,0.0,2.43902,4.6,2.22222,4.54545
2024-09-03,-0.004367474288428985,0.018912944628685313,0.047793488232278136,-0.008257638419489344,-0.019869726227757845,0.0008417379760294885,-0.02041531941382657,62.29199981689453,61.192000198364255,59.79600028991699,55.859800262451174,,0.022591268831920086,1.9029991149902359,0.019403261079176965,1.6584999084472662,0.02366154674858593,1.8975000381469733,76.73974105164861,1.7698569275811664,1.4470388080294239,0.32281811955174256,1119990.0,1.0185805230403844,59.79600028991699,63.97183754387777,55.62016303595621,0.1396694505891533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.71999931,15.0,15.64999962,17.11000061,16.14999962,14.64999962,38.56999969,,,,,,,,0.0,,3.12663,0.88549,3.06948,3.22427,103.6179,-0.30653,1.00569,102.7114,-0.43331,-0.14767,,4.2,0.0,2.43902,4.6,2.22222,4.54545
2024-09-04,0.020053246789570434,-0.004367474288428985,0.018912944628685313,0.047793488232278136,0.006148204220812303,0.0,0.02333454555634651,63.204000091552736,61.758000183105466,60.179000282287596,56.13600028991699,,0.02253955589354705,2.094998931884767,0.019600147695696953,1.8074996948242195,0.02355128667227265,1.9044998168945315,82.34775219084122,1.9493383742495354,1.5474987212734461,0.40183965297608926,1144900.0,1.23574111276094,60.179000282287596,64.8272548592189,55.5307457053563,0.15448095033574066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.31999969,20.71999931,15.0,15.64999962,15.43000031,15.88000011,27.70999908,,,,,,,,0.0,,3.12663,0.88549,3.06948,3.22427,103.6179,-0.30653,1.00569,102.7114,-0.43331,-0.14767,,4.2,0.0,2.43902,4.6,2.22222,4.54545
2024-09-05,0.007525692814870366,0.020053246789570434,-0.004367474288428985,0.018912944628685313,-0.008257638419489344,0.0035323647061005214,-0.026979968955203937,64.31399993896484,62.352000045776364,60.66400012969971,56.423000259399416,,0.01938243341424744,2.2129981994628904,0.019509916936515936,1.8714992523193366,0.02219106554074178,1.8659997940063477,81.41263650573676,2.106831207646543,1.6593652185480656,0.44746598909847757,1140790.0,1.259653398083784,60.66400012969971,65.45440016585846,55.87360009354096,0.15793221765517834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.89999962,21.31999969,20.71999931,15.0,17.11000061,16.27000046,27.85000038,,,,,,,,0.0,,3.12663,0.88549,3.06948,3.22427,103.6179,-0.30653,1.00569,102.7114,-0.43331,-0.14767,,4.2,0.0,2.43902,4.6,2.22222,4.54545
2024-09-06,0.009146318415812038,0.007525692814870366,0.020053246789570434,-0.004367474288428985,0.047793488232278136,0.0018437916633071705,0.04937385055804455,64.96999969482422,62.994999694824216,61.04099998474121,56.73200019836426,,0.009917921765357527,1.872998046875,0.01931869298235629,1.9554992675781258,0.0199821020930364,1.800499725341797,81.48147363230683,2.2540766823729896,1.7783075113130504,0.4757691710599392,1139070.0,1.1408429683864907,61.04099998474121,66.32835023614847,55.75364973333395,0.1732393064572654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.37999916,19.89999962,21.31999969,20.71999931,15.64999962,17.54999924,23.79000092,,,,,,,,0.0,,3.12663,0.88549,3.06948,3.22427,103.6179,-0.30653,1.00569,102.7114,-0.43331,-0.14767,,4.3,2.38095,2.38095,4.5,2.27273,-2.17391
