feature,coef_down,coef_same,coef_up,max_abs_coef,sector_slug,feature_type,all_zero,n_nonzero_classes,var
num__debt_to_equity,0.2463904470584342,-0.1276909704453657,-0.0390993354071989,0.2463904470584342,communication_services,numeric,False,3,debt_to_equity
ticker__ticker_GOOGL,0.1410606570661831,-0.2357088963841326,0.0153610247869331,0.2357088963841326,communication_services,ticker_fe,False,3,ticker__ticker_GOOGL
ticker__ticker_T,-0.2338854294750055,0.0963230734429487,0.0581224897352338,0.2338854294750055,communication_services,ticker_fe,False,3,ticker__ticker_T
num__VIX_Lag2,0.2040098206806126,0.0,-0.1507747809784365,0.2040098206806126,communication_services,numeric,False,2,VIX_Lag2
ticker__ticker_TKO,0.0490805251552971,-0.2005957003952187,0.0719904606528085,0.2005957003952187,communication_services,ticker_fe,False,3,ticker__ticker_TKO
num__roe,-0.2002436454302474,0.0233271715849897,0.0973672254627398,0.2002436454302474,communication_services,numeric,False,3,roe
ticker__ticker_NFLX,-0.0964453303617421,-0.0230501325378559,0.1992584827788377,0.1992584827788377,communication_services,ticker_fe,False,3,ticker__ticker_NFLX
ticker__ticker_EA,-0.0450423277529903,0.198466322394641,-0.0856765635496455,0.198466322394641,communication_services,ticker_fe,False,3,ticker__ticker_EA
ticker__ticker_OMC,0.0,0.1314771265781846,-0.1970517010737297,0.1970517010737297,communication_services,ticker_fe,False,2,ticker__ticker_OMC
ticker__ticker_DIS,-0.044443861965789,0.1871337308721438,-0.0630132004715871,0.1871337308721438,communication_services,ticker_fe,False,3,ticker__ticker_DIS
num__VIX_Lag3,-0.088007902741348,-0.0157129557058152,0.1832912048203987,0.1832912048203987,communication_services,numeric,False,3,VIX_Lag3
ticker__ticker_META,0.1728684499082027,-0.0155992072281035,-0.1421915058853354,0.1728684499082027,communication_services,ticker_fe,False,3,ticker__ticker_META
num__VIX_Lag1,0.0,-0.1692539852802891,0.1209109571516496,0.1692539852802891,communication_services,numeric,False,2,VIX_Lag1
ticker__ticker_TMUS,-0.1478889159312141,0.0486126671658688,0.0196013787612276,0.1478889159312141,communication_services,ticker_fe,False,3,ticker__ticker_TMUS
